Review ID,Month,Product Line,Star Rating,Review,Month_date,year
1101431,2021 / 01,HUMIDIFICATION-PHARMACY,5,easy to use and does the job,1,2021
1101441,2021 / 01,HUMIDIFICATION-PHARMACY,2,"Bought this at the end of 2019 and used it for two months. Took it out for winter 2020 and used it for a few weeks, and discovered that the coating on the heating element is flaking off! Cracks running through the coating and actual chunks of gray plastic? Teflon?Im not sure what the coating is made out ofare in the water well. Terrible!! The humidifier worked ok the first season and still outs out steam even though its broken, but I would not want to keep using it. Who knows what this damage would do? Dangerous!",1,2021
1101442,2021 / 01,HUMIDIFICATION-PHARMACY,5,"Great product! On low definitely lasts the entire night. Using the vicks in the top cup is a HUGE help, do it!!!",1,2021
1101453,2021 / 01,HUMIDIFICATION-PHARMACY,1,"I stopped using it for six months, and when I pulled it out and turned it on it didn`t function. Cheap junk.",1,2021
1101457,2021 / 01,HUMIDIFICATION-PHARMACY,5,I have two of these. They are easy to use.,1,2021
1101489,2021 / 01,HUMIDIFICATION-PHARMACY,5,"Great product, we bought a second right away for traveling! Very easy to use, only down fall is its a little difficult to clean. But great price for our money.",1,2021
1101490,2021 / 01,HUMIDIFICATION-PHARMACY,1,"This product was obviously engineered to overheat internal plastic components so that they produce stinky, probably cancer-causing odors. Do not buy at any price!!!",1,2021
1101494,2021 / 01,HUMIDIFICATION-PHARMACY,4,Did not say to order the Vicks pads that go with it. One came with machine. Works great with ir without.,1,2021
1101495,2021 / 01,HUMIDIFICATION-PHARMACY,5,This is perfect if you have sinus problems.,1,2021
1101496,2021 / 01,HUMIDIFICATION-PHARMACY,3,"I used these on a Vicks humidifier. They had a few drops of moisture inside the sealed bag which should not have been there. I have ordered these through another vendor and had the same problem, not sure why. I let them sit out and dry before I used them. They help stop white dust.",1,2021
1101505,2021 / 01,HUMIDIFICATION-PHARMACY,5,"I really like this humidifier. Its so easy to fill and easy to clean. We use ours almost every night and have had it for about 9 months. Only issue we had was originally using tap water to fill it (like it shows in the pictures) and it caused a horrible film and even after cleaning multiple times, it never really went back to normal. I called Vicks and they sent a new one out right away (great customer service) and we have had no problems with the new one since only using distilled water.",1,2021
1101506,2021 / 01,HUMIDIFICATION-PHARMACY,2,"Seems to work well, but no matter what I`ve tried, I can not make the gurgling noise stop. Wanted to use this in my bedroom, but I cant with the noise it makes. Look a diff model if you want a quiet unit.",1,2021
1101507,2021 / 01,HUMIDIFICATION-PHARMACY,5,Had this for years! No expensive moldy filters to replace. Easy to use and clean. Tip: use distilled water to prevent sedimentation and itll run forever. Relief from dry nose and throat in the winter; eases breathing and reduces irritation to help avoid colds and flus.,1,2021
1101515,2021 / 01,HUMIDIFICATION-PHARMACY,5,Very nice quiet works perfect in any room,1,2021
1101516,2021 / 01,HUMIDIFICATION-PHARMACY,5,"For the first time in months, I woke up with no nosebleeds. And my husband didn`t snore!! Wish I would have gotten it sooner. I chose this one so if I get sick, I can utilize the Vicks vapor too.",1,2021
1101527,2021 / 01,HUMIDIFICATION-PHARMACY,5,Humidifies my living space enough to stop static.,1,2021
1101529,2021 / 01,HUMIDIFICATION-PHARMACY,4,Its does the job but takes a little more time to warm up than expected. Good for the price tho.,1,2021
1101530,2021 / 01,HUMIDIFICATION-PHARMACY,2,It is easy to use and clean but noise level is high. I do not like the light limitted from the this humidifier. it is too bright so it bothers me while sleeping.,1,2021
1101531,2021 / 01,HUMIDIFICATION-PHARMACY,5,Easy to use and refill. I run on high and it last about 10 hours between refills.FYI - When it runs out of water it smells like you`re scorching your clothes ironing.Only has the small opening so cleaning inside will just consist of a good shaking for several minutes.Only enough output for a small room.,1,2021
1101532,2021 / 01,HUMIDIFICATION-PHARMACY,1,"Like someone else posted mine too arrived broken. Flawless boxes so I don`t know just fragile I guess. Very thin brittle plastic holding the whole rear half by one tiny &quot;latch&quot; if you want to call it that (see pic, that tiny square hole is the latch). Awful design. Got a replacement coming but Im sure its made the same way and hopefully not broken. I will hand it to amazon for a quick replacement(put claim in sat, replacement arriving monday) and easy to just bring the old one to kohls to have them ship it back.",1,2021
